Date,Direction,Coin,Futures,Transaction amount,Average Price,Realized P/L,NetProfits,Fee,
2025-03-23 23:29:13,Sell,USDT,BTCUSDT,0.0005,85458.4,0,0,-0.02563752,
2025-03-23 23:21:27,Sell,USDT,BTCUSDT,0.0077,85535.5,0,0,-0.39517401,
2025-03-23 23:18:27,Sell,USDT,BTCUSDT,0.0005,85547.9,0,0,-0.02566437,
2025-03-23 23:18:23,Buy,USDT,BTCUSDT,0.0532,85550,-47.016168874874,-49.746924874874,-2.730756,
2025-03-23 23:18:13,Sell,USDT,BTCUSDT,0.0005,85462.6,0,0,-0.02563878,
2025-03-23 23:16:41,Sell,USDT,BTCUSDT,0.0005,85414.6,0,0,-0.02562438,
2025-03-23 23:12:55,Sell,USDT,BTCUSDT,0.0005,85319.8,0,0,-0.02559594,
2025-03-23 23:10:52,Sell,USDT,BTCUSDT,0.0007,85312.5,0,0,-0.03583125,
2025-03-23 22:57:41,Sell,USDT,BTCUSDT,0.0008,85120.5,0,0,-0.04085784,
2025-03-23 22:51:29,Sell,USDT,BTCUSDT,0.0025,85027.6,0,0,-0.1275414,
2025-03-23 22:46:28,Sell,USDT,BTCUSDT,0.001,84943.1,0,0,-0.05096586,
2025-03-23 22:35:30,Sell,USDT,BTCUSDT,0.001,84996.6,0,0,-0.05099796,
2025-03-23 21:39:49,Buy,USDT,BTCUSDT,0.0011,85169.8,-0.636372358039,-0.692584426039,-0.056212068,
2025-03-23 18:28:52,Sell,USDT,BTCUSDT,0.0019,85232.9,0,0,-0.097165506,
2025-03-23 17:23:55,Sell,USDT,BTCUSDT,0.0006,85249.9,0,0,-0.030689964,
2025-03-23 17:11:56,Sell,USDT,BTCUSDT,0.0006,85106.4,0,0,-0.030638304,
2025-03-23 16:46:41,Sell,USDT,BTCUSDT,0.0007,85152.3,0,0,-0.035763966,
2025-03-23 16:42:47,Sell,USDT,BTCUSDT,0.001,85170.8,0,0,-0.05110248,
2025-03-23 16:27:47,Sell,USDT,BTCUSDT,0.001,85048.8,0,0,-0.05102928,
2025-03-23 16:22:49,Sell,USDT,BTCUSDT,0.0016,85129.3,0,0,-0.081724128,
2025-03-23 16:14:38,Sell,USDT,BTCUSDT,0.0007,85012.8,0,0,-0.035705376,
2025-03-23 16:11:11,Sell,USDT,BTCUSDT,0.0016,84964.9,0,0,-0.081566304,
2025-03-23 16:09:59,Sell,USDT,BTCUSDT,0.0016,84962.1,0,0,-0.081563616,
2025-03-23 15:44:59,Buy,USDT,BTCUSDT,0.0004,84950.1,-0.20775438009,-0.22814240409,-0.020388024,
2025-03-23 15:31:56,Buy,USDT,BTCUSDT,0.0009,84872.9,-0.397967355201,-0.443798721201,-0.045831366,
2025-03-23 15:00:49,Sell,USDT,BTCUSDT,0.0009,85083.2,0,0,-0.045944928,
2025-03-23 14:56:20,Sell,USDT,BTCUSDT,0.0009,84961.4,0,0,-0.045879156,
2025-03-23 14:33:09,Sell,USDT,BTCUSDT,0.0005,84913.2,0,0,-0.02547396,
2025-03-23 14:27:42,Sell,USDT,BTCUSDT,0.0009,84944.9,0,0,-0.045870246,
2025-03-23 14:27:19,Sell,USDT,BTCUSDT,0.0005,84931.6,0,0,-0.02547948,
2025-03-23 14:22:47,Buy,USDT,BTCUSDT,0.0027,84830.1,-1.24305903366,-1.38048379566,-0.137424762,
2025-03-23 14:18:50,Sell,USDT,BTCUSDT,0.0009,84843.2,0,0,-0.045815328,
2025-03-23 14:18:40,Sell,USDT,BTCUSDT,0.0009,84833.1,0,0,-0.045809874,
2025-03-23 13:55:29,Sell,USDT,BTCUSDT,0.0014,84679.1,0,0,-0.071130444,
2025-03-23 13:22:24,Sell,USDT,BTCUSDT,0.0009,84544.3,0,0,-0.045653922,
2025-03-23 12:59:39,Sell,USDT,BTCUSDT,0.0009,84649.9,0,0,-0.045710946,
2025-03-23 12:58:00,Sell,USDT,BTCUSDT,0.0009,84641.9,0,0,-0.045706626,
2025-03-23 12:57:31,Sell,USDT,BTCUSDT,0.0046,84641.9,0,0,-0.233611644,
2025-03-23 11:41:27,Sell,USDT,BTCUSDT,0.0025,84336.5,0,0,-0.12650475,
2025-03-23 11:16:26,Sell,USDT,BTCUSDT,0.002,84291.6,0,0,-0.10114992,
2025-03-23 10:00:43,Sell,USDT,BTCUSDT,0.0011,84303.3,0,0,-0.055640178,
2025-03-23 09:35:32,Sell,USDT,BTCUSDT,0.0011,84273,0,0,-0.05562018,
2025-03-23 09:26:19,Sell,USDT,BTCUSDT,0.0016,84286.9,0,0,-0.080915424,
2025-03-23 09:18:20,Sell,USDT,BTCUSDT,0.0046,84258.7,0,0,-0.232554012,
2025-03-22 21:16:13,Sell,USDT,BTCUSDT,0.0011,84131.3,0,0,-0.055526658,
2025-03-21 10:44:12,Buy,USDT,BTCUSDT,0.0089,84166.6,0.343751078179,-0.105698565821,-0.449449644,
2025-03-21 10:44:03,Sell,USDT,BTCUSDT,0.0118,84161.4,0,0,-0.595862712,
2025-03-21 10:39:13,Buy,USDT,BTCUSDT,0.0088,84269,-0.019486681953,-0.464427001953,-0.44494032,
2025-03-21 10:39:11,Sell,USDT,BTCUSDT,0.0118,84272.5,0,0,-0.5966493,
2025-03-21 10:39:06,Buy,USDT,BTCUSDT,0.0088,84281.9,-0.242892394367,-0.687900826367,-0.445008432,
2025-03-21 10:39:04,Sell,USDT,BTCUSDT,0.0118,84255.6,0,0,-0.596529648,
2025-03-21 10:38:56,Buy,USDT,BTCUSDT,0.0089,84248,-0.00089,-0.45077432,-0.44988432,
2025-03-21 10:38:51,Sell,USDT,BTCUSDT,0.0118,84247.9,0.00645,-0.0188243699999999,-0.596475132,
2025-03-21 10:38:43,Buy,USDT,BTCUSDT,0.0089,84235,1.722295397133,1.297750997133,-0.4498149,
2025-03-21 07:59:26,Buy,USDT,BTCUSDT,0.0089,84161,2.483412980296,2.033993240296,-0.44941974,
2025-03-21 02:06:45,Buy,USDT,BTCUSDT,0.0088,84470.3,-0.266330536337,-0.712333720337,-0.446003184,
2025-03-21 02:02:05,Buy,USDT,BTCUSDT,0.0177,84454.3,-0.252487556041,-1.149392222041,-0.896904666,
2025-03-21 02:02:01,Sell,USDT,BTCUSDT,0.026,84441.5,0,0,-1.3172874,
2025-03-21 02:02:01,Buy,USDT,BTCUSDT,0.0195,84441.6,-0.072237328173,-1.060204048173,-0.98796672,
2025-03-21 02:01:55,Buy,USDT,BTCUSDT,0.0177,84441.6,-0.065569267111,-0.962339059111,-0.896769792,
2025-03-21 02:01:52,Buy,USDT,BTCUSDT,0.0088,84441.6,-0.032599409637,-0.478451057637,-0.445851648,
2025-03-21 02:01:48,Sell,USDT,BTCUSDT,0.0236,84441.5,0,0,-1.19569164,
2025-03-21 02:01:45,Buy,USDT,BTCUSDT,0.0195,84441.6,-0.113500535756,-1.101467255756,-0.98796672,
2025-03-21 02:01:38,Buy,USDT,BTCUSDT,0.0177,84441.6,-0.103023563225,-0.999793355225,-0.896769792,
2025-03-21 02:01:24,Buy,USDT,BTCUSDT,0.0088,84441.6,-0.051220754598,-0.497072402598,-0.445851648,
2025-03-21 02:01:11,Sell,USDT,BTCUSDT,0.026,84427.5,0,0,-1.317069,
2025-03-21 02:01:08,Buy,USDT,BTCUSDT,0.0195,84427.6,0.229228468735,-0.758574451265,-0.98780292,
2025-03-21 02:01:01,Sell,USDT,BTCUSDT,0.0236,84427.5,0,0,-1.1954934,
2025-03-21 02:00:37,Buy,USDT,BTCUSDT,0.0177,84441.7,0.046773400118,-0.849997453882,-0.896770854,
2025-03-21 02:00:36,Sell,USDT,BTCUSDT,0.0118,84441.6,0,0,-0.597846528,
2025-03-21 02:00:32,Buy,USDT,BTCUSDT,0.0195,84441.7,0.061708471943,-0.926259418057,-0.98796789,
2025-03-21 02:00:30,Sell,USDT,BTCUSDT,0.0236,84441.6,0,0,-1.195693056,
2025-03-21 02:00:27,Sell,USDT,BTCUSDT,0.026,84441.6,0,0,-1.31728896,
2025-03-21 02:00:24,Sell,USDT,BTCUSDT,0.026,84445.7,0,0,-1.31735292,
2025-03-21 02:00:20,Buy,USDT,BTCUSDT,0.0195,84441.1,0.536778044646,-0.451182825354,-0.98796087,
2025-03-21 02:00:16,Buy,USDT,BTCUSDT,0.0195,84441,0.538728044646,-0.449231655354,-0.9879597,
2025-03-21 02:00:10,Buy,USDT,BTCUSDT,0.0195,84441,0.538728044646,-0.449231655354,-0.9879597,
2025-03-21 02:00:03,Sell,USDT,BTCUSDT,0.026,84465.9,0,0,-1.31766804,
2025-03-21 02:00:01,Buy,USDT,BTCUSDT,0.0195,84466,0.087234012375,-0.901018187625,-0.9882522,
2025-03-21 01:59:54,Sell,USDT,BTCUSDT,0.0236,84474.1,0,0,-1.196153256,
2025-03-21 01:59:53,Sell,USDT,BTCUSDT,0.026,84474.1,0,0,-1.31779596,
2025-03-21 01:59:23,Buy,USDT,BTCUSDT,0.0195,84449.2,-0.00775791367,-0.99581355367,-0.98805564,
2025-03-21 01:59:19,Sell,USDT,BTCUSDT,0.0063,84449.1,0,0,-0.319217598,
2025-03-21 01:59:19,Sell,USDT,BTCUSDT,0.0197,84449.1,0,0,-0.998188362,
2025-03-21 01:58:48,Buy,USDT,BTCUSDT,0.0195,84456.7,-0.2379,-1.22604339,-0.98814339,
2025-03-21 01:58:29,Buy,USDT,BTCUSDT,0.0177,84459.8,-0.27081,-1.167773076,-0.896963076,
2025-03-21 01:58:22,Sell,USDT,BTCUSDT,0.026,84449.9,0,0,-1.31741844,
2025-03-21 01:57:36,Sell,USDT,BTCUSDT,0.0216,84433.7,0.058737999999,-0.3769398920009999,-1.094260752,
2025-03-21 01:57:36,Sell,USDT,BTCUSDT,0.0044,84433.7,0.030051999999,-0.192852968001,-0.222904968,
2025-03-21 01:56:38,Sell,USDT,BTCUSDT,0.026,84461.4,0.897779999999,-0.419817840001,-1.31759784,
2025-03-21 01:56:11,Sell,USDT,BTCUSDT,0.026,84467.8,1.064179999999,-0.253517680001,-1.31769768,
2025-03-21 01:55:30,Buy,USDT,BTCUSDT,0.0152,84452.3,0,0,-0.770204976,
2025-03-21 01:55:30,Buy,USDT,BTCUSDT,0.0043,84452.3,0,0,-0.217886934,
2025-03-21 01:52:25,Buy,USDT,BTCUSDT,0.0195,84470.2,0,0,-0.98830134,
2025-03-21 01:51:14,Buy,USDT,BTCUSDT,0.0195,84414.5,0,0,-0.98764965,
2025-03-21 01:04:13,Buy,USDT,BTCUSDT,0.0065,84257.7,0,0,-0.32860503,
2025-03-21 01:04:11,Buy,USDT,BTCUSDT,0.0065,84257.7,-0.15145,-0.48005503,-0.32860503,
2025-03-21 01:03:39,Sell,USDT,BTCUSDT,0.0065,84234.4,0,0,-0.32851416,
2025-03-21 01:03:38,Sell,USDT,BTCUSDT,0.013,84234.4,2.09625,1.43922168,-0.65702832,
2025-03-21 00:37:40,Buy,USDT,BTCUSDT,0.0065,84128,0,0,-0.3280992,
2025-03-21 00:03:16,Buy,USDT,BTCUSDT,0.0065,84018.3,0,0,-0.32767137,
2025-03-21 00:03:12,Sell,USDT,BTCUSDT,0.0031,84020.1,-0.69037,-0.846647386,-0.156277386,
2025-03-20 21:16:36,Buy,USDT,BTCUSDT,0.0031,84242.8,0,0,-0.156691608,
2025-03-20 18:27:10,Close long,USDT,BTCUSDT,0.0288,83790.4,5.974883652237,4.526985540237,-1.447898112,
2025-03-20 18:27:08,Close short,USDT,BTCUSDT,0.0451,83790.5,9.3730843966,7.1057134666,-2.26737093,
2025-03-20 18:20:20,Close long,USDT,BTCUSDT,0.0058,83960,2.186955179964,1.894774379964,-0.2921808,
2025-03-20 17:56:20,Close short,USDT,BTCUSDT,0.005,83727,1.356644611596,1.105463611596,-0.251181,
2025-03-20 17:52:11,Close long,USDT,BTCUSDT,0.0051,83672.9,0.458802313417,0.202763239417,-0.256039074,
2025-03-20 17:51:58,Close short,USDT,BTCUSDT,0.0037,83673,1.203717012581,1.017962952581,-0.18575406,
2025-03-20 17:35:59,Close short,USDT,BTCUSDT,0.0059,83932.7,0.387210641683,0.090088883683,-0.297121758,
2025-03-20 17:28:33,Close short,USDT,BTCUSDT,0.0066,84175.1,-1.166689112693,-1.500022508693,-0.333333396,
2025-03-20 16:53:53,Close short,USDT,BTCUSDT,0.0049,84797.1,-3.913978280636,-4.163281754636,-0.249303474,
2025-03-20 16:46:45,Close short,USDT,BTCUSDT,0.0037,85098,-4.068782987419,-4.257700547419,-0.18891756,
2025-03-20 15:39:16,Close short,USDT,BTCUSDT,0.0023,86300.1,-5.294073478666,-5.413167616666,-0.119094138,
2025-03-20 15:39:03,Close long,USDT,BTCUSDT,0.0044,86266.1,11.805909446869,11.578166942869,-0.227742504,
2025-03-20 14:43:19,Close long,USDT,BTCUSDT,0.0048,85675.1,10.042373942039,9.795629654039,-0.246744288,
2025-03-20 12:32:49,Close long,USDT,BTCUSDT,0.0025,85276.4,4.233653094812,4.105738494812,-0.1279146,
2025-03-20 11:58:10,Close short,USDT,BTCUSDT,0.0032,85160,-3.717347448579,-3.880854648579,-0.1635072,
2025-03-20 11:22:32,Close short,USDT,BTCUSDT,0.0051,85033.2,-5.277842496172,-5.538044088172,-0.260201592,
2025-03-20 11:16:43,Close short,USDT,BTCUSDT,0.0064,85316.2,-8.434374897157,-8.761989105157,-0.327614208,
2025-03-20 10:25:03,Close short,USDT,BTCUSDT,0.0048,86020.6,-9.706901172868,-9.954640500868,-0.247739328,
2025-03-20 09:51:57,Open short,USDT,BTCUSDT,0.0025,86222.9,0,0,-0.12933435,
2025-03-20 08:02:29,Close long,USDT,BTCUSDT,0.0057,85774.7,12.493039056171,12.199689582171,-0.293349474,
